Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
30,30,2018-12-18,23-302,DEN,,DAL,W (+8),1,34:57,0.598,0.56,21.1,33.5,27.5,17.1,4.2,2.8,15.7,38.6,116,109,26.8,6
31,31,2018-12-22,23-306,DEN,@,LAC,L (-21),1,20:37,0.582,0.533,8.3,25.2,15,28.3,0,3.2,19.7,40.4,101,132,11.9,2.6
32,32,2018-12-26,23-310,DEN,@,SAS,L (-8),1,30:59,0.34,0.3,5.7,7.2,6.4,46.3,3.1,0,46,15,84,112,6.1,-2.8
33,33,2018-12-28,23-312,DEN,,SAS,W (+3),1,36:56,0.75,0.75,0,24.4,13,45,0,0,30,23.1,112,105,15.8,5
34,34,2018-12-29,23-313,DEN,@,PHO,W (+4),1,37:40,0.792,0.727,3.6,21.2,13.2,36.1,3.9,2.1,21.6,21.8,144,115,25.7,9.2
35,35,2019-01-01,23-316,DEN,,NYK,W (+7),1,34:29,0.548,0.531,19,21.4,20.3,63.5,1.5,6.3,22.4,27.5,121,110,24.6,14.2
36,36,2019-01-03,23-318,DEN,@,SAC,W (+4),1,31:35,0.658,0.639,10.9,33.8,22.7,35.3,1.6,2.6,20.2,32.4,121,111,22.6,12.5
37,37,2019-01-05,23-320,DEN,,CHO,W (+13),1,34:16,0.625,0.603,21.6,13.7,18.1,34.2,4.3,2.6,6,39.5,136,109,37,21.2
38,38,2019-01-07,23-322,DEN,@,HOU,L (-12),1,28:08,0.587,0.575,19.4,37.9,27.7,27,3.4,5.9,28.1,41.7,94,117,17,3.5
39,39,2019-01-08,23-323,DEN,@,MIA,W (+4),1,39:37,0.613,0.548,8.3,22,15.1,43.8,1.3,0,11.3,29.2,130,106,27,14
40,40,2019-01-10,23-325,DEN,,LAC,W (+21),1,27:48,0.443,0.421,19.2,33.8,26.6,47.7,0,5.5,4.7,32.4,123,99,19.9,11.1
41,41,2019-01-12,23-327,DEN,@,PHO,L (-9),1,33:48,0.636,0.567,3,25.1,14.3,25.1,0,2.2,10,25.3,124,106,20.2,8.9
42,42,2019-01-13,23-328,DEN,,POR,W (+3),1,36:43,0.754,0.739,3.7,30.2,17.7,41.2,0,0,10.2,38.3,141,118,33.5,17.9
43,43,2019-01-15,23-330,DEN,,GSW,L (-31),1,23:13,0.599,0.5,4.4,15.9,9.6,55.9,0,0,17.4,33.2,119,149,14,2.5
44,44,2019-01-17,23-332,DEN,,CHI,W (+30),1,25:28,0.436,0.333,18,15.7,16.8,53.6,2,2.9,8.8,38.2,124,108,18,6
45,45,2019-01-19,23-334,DEN,,CLE,W (+22),1,27:39,0.764,0.792,14.9,38.6,26.9,57.7,1.9,0,7.4,22.3,171,111,25.1,24.5
46,46,2019-01-23,23-338,DEN,@,UTA,L (-6),1,37:05,0.581,0.5,9.7,46.6,30.2,26.7,2.7,3.1,11.1,31.6,123,103,26.7,10.4
47,,2019-01-25,23-340,DEN,,PHO,W (+37),Did Not Play,,,,,,,,,,,,,,,
48,47,2019-01-26,23-341,DEN,,PHI,W (+16),1,33:44,0.638,0.591,20.8,33.5,27.8,46,1.4,0,3.8,31.8,147,102,35.4,21.3
49,48,2019-01-28,23-343,DEN,@,MEM,W (+3),1,34:36,0.563,0.525,3.3,15,8.8,18,5.9,0,15.8,33.4,101,91,16.8,7.6
50,49,2019-01-30,23-345,DEN,@,NOP,W (+6),1,37:07,0.592,0.563,2.8,34.5,18.5,42.6,3.9,4.9,10.6,23,121,90,25.3,12.6
51,50,2019-02-01,23-347,DEN,,HOU,W (+14),1,31:26,0.879,0.833,21.1,37.1,30.1,42.1,1.7,0,10.2,30,176,131,34.5,18.1
52,51,2019-02-02,23-348,DEN,@,MIN,W (+1),1,29:16,0.393,0.308,27.3,32,29.5,46.3,0,0,23.2,33.6,102,116,12.7,-1.9
53,52,2019-02-04,23-350,DEN,@,DET,L (-26),1,25:44,0.437,0.412,4,9.8,6.6,26.7,5.6,0,14.1,34.7,85,122,9,-3.4
54,53,2019-02-06,23-352,DEN,@,BRK,L (-5),1,33:47,0.718,0.654,6,41.6,22.6,36.8,1.3,2.5,10.3,22.7,149,122,28.8,12.8
55,54,2019-02-08,23-354,DEN,@,PHI,L (-7),1,35:19,0.568,0.523,6.3,27.9,16.6,43.8,4,0,14.4,33.8,110,108,25,11.6
56,55,2019-02-11,23-357,DEN,,MIA,W (+16),1,36:29,0.603,0.531,0,37.6,17.2,18.3,0,0,26.8,31.3,91,91,12.4,-1.1
57,56,2019-02-13,23-359,DEN,,SAC,W (+2),1,36:12,0.509,0.412,11,37.9,24.6,40.8,1.3,0,16.9,25.5,113,107,22.2,8.2
58,57,2019-02-22,24-003,DEN,@,DAL,W (+10),1,30:25,0.535,0.469,14.1,25.8,19.5,40.8,1.5,0,18.4,27,114,101,17.5,6.2
59,58,2019-02-24,24-005,DEN,,LAC,W (+27),1,27:42,0.59,0.563,12.1,44.2,29.5,18.3,4.7,2.6,24.4,34.9,97,75,17.4,3.7
60,59,2019-02-26,24-007,DEN,,OKC,W (+9),1,34:47,0.586,0.52,3.2,22.1,13.4,53.4,0,2.4,6.1,37.2,128,106,29.7,16.1
61,60,2019-02-28,24-009,DEN,,UTA,L (-7),1,31:41,0.442,0.333,18.2,21.6,19.9,32.7,0,0,21.7,28.8,95,114,11.3,-1.3
62,61,2019-03-02,24-011,DEN,,NOP,L (-8),1,21:34,0.733,0.682,19.8,24.2,22,66.5,4.1,7.2,12.8,28.8,145,100,23.7,23.9
63,62,2019-03-04,24-013,DEN,@,SAS,L (-1),1,38:25,0.786,0.786,11.1,18.3,14.5,26.3,0,0,17.6,19.5,138,111,21.2,8
64,63,2019-03-06,24-015,DEN,@,LAL,W (+16),1,35:24,0.704,0.6,10,42,24,26.5,4.2,0,19,12.6,146,94,21.8,10.6
65,64,2019-03-08,24-017,DEN,@,GSW,L (-17),1,28:48,0.592,0.55,10,12.8,11.2,27,6.5,3.4,12.9,21.7,120,108,17.5,12.2
66,65,2019-03-12,24-021,DEN,,MIN,W (+26),1,26:24,0.643,0.643,24.2,17.7,20.5,36.7,0,3.1,22.2,31,124,115,15.8,-0.5
67,66,2019-03-14,24-023,DEN,,DAL,W (+1),1,29:58,0.511,0.444,8.2,42.7,26.7,39.3,0,3.2,15.7,20.5,115,105,14.8,6.3
68,67,2019-03-16,24-025,DEN,,IND,W (+2),1,34:21,0.594,0.571,10,14.7,12.2,29.6,0,0,15.5,35.9,109,116,17.3,3.1
69,68,2019-03-18,24-027,DEN,@,BOS,W (+9),1,35:52,0.75,0.75,7.4,28.3,19.8,27.6,2.7,7.4,17.6,19.7,136,94,24.7,16.4
70,69,2019-03-21,24-030,DEN,@,WAS,W (+5),1,34:56,0.603,0.583,10.1,11.1,10.6,40,0,0,7.4,18.5,146,125,18.3,7.3
71,70,2019-03-22,24-031,DEN,@,NYK,W (+18),1,28:13,0.464,0.425,12.6,41.7,27,32.2,0,0,4.2,35.8,114,95,17.4,5
72,71,2019-03-24,24-033,DEN,@,IND,L (-36),1,29:32,0.563,0.531,9,36.1,19.9,65,1.7,8.9,5.6,24.8,127,116,23.1,21
73,72,2019-03-26,24-035,DEN,,DET,W (+3),1,33:18,0.439,0.417,8.6,27.9,19.3,12.8,0,0,10.3,38.3,87,91,12.3,0.1
74,73,2019-03-28,24-037,DEN,@,HOU,L (-27),1,24:52,0.538,0.5,13.8,23,18.4,66.2,0,8.2,11.8,30.5,108,117,15,12.6
75,74,2019-03-29,24-038,DEN,@,OKC,W (+10),1,34:21,0.681,0.656,9,45.5,30.2,12.3,1.5,0,10.6,26.5,130,105,21.3,5.5
76,75,2019-03-31,24-040,DEN,,WAS,L (-5),1,30:15,0.705,0.733,5.6,35.3,20,36.2,3.2,2.3,10.9,25.8,128,85,23.4,17.8
77,76,2019-04-02,24-042,DEN,@,GSW,L (-14),1,27:42,0.442,0.4,6.4,12.7,9.1,35.8,6.5,0,34.6,24.3,73,104,8.3,-1.5
78,77,2019-04-03,24-043,DEN,,SAS,W (+28),1,28:40,0.883,0.9,0,36.8,21.7,47.2,0,0,30.6,25.7,125,87,19.6,11.9
79,78,2019-04-05,24-045,DEN,,POR,W (+9),1,36:45,0.656,0.633,9.8,33.5,21.5,37.6,2.8,2.3,10.7,23.2,139,111,25.6,12.8
80,,2019-04-07,24-047,DEN,@,POR,L (-7),Inactive,,,,,,,,,,,,,,,
81,79,2019-04-09,24-049,DEN,@,UTA,L (-10),1,16:03,0.145,0.167,14.2,24.2,18.9,15.7,3,5.9,12.7,22.5,57,112,-0.6,-15.1
82,80,2019-04-10,24-050,DEN,,MIN,W (+4),1,36:35,0.539,0.519,8.6,30.1,19.5,12,4.2,0,13,38.1,100,93,20.2,3.9
