Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2018-10-17,23-240,DEN,@,LAC,W (+9),1,33:32,0.603,0.5,5.5,16.8,11.1,29.3,1.4,4.8,10.3,24,124,97,19,9.7
2,2,2018-10-20,23-243,DEN,,PHO,W (+28),1,30:43,1.105,1.136,0,31.3,18.3,66.6,6.1,4.1,0,21.4,226,75,45.8,44.4
3,3,2018-10-21,23-244,DEN,,GSW,W (+2),1,32:23,0.596,0.5,9.5,29.6,18.7,36.1,0,0,9.4,28,126,104,20.7,10.8
4,4,2018-10-23,23-246,DEN,,SAC,W (+14),1,23:17,0.612,0.591,9.2,47.9,28.1,32,2.1,0,20.8,25.3,118,106,13.7,5.1
5,5,2018-10-25,23-248,DEN,@,LAL,L (-7),1,32:50,0.625,0.559,10.2,27.2,18.7,13.4,1.4,2.3,23.8,30.8,104,112,16,0.8
6,6,2018-10-29,23-252,DEN,,NOP,W (+5),1,28:57,0.615,0.5,3.6,34,17.6,44.8,0,5.7,0,13.9,155,106,17.5,11.4
7,7,2018-10-31,23-254,DEN,@,CHI,W (+1),1,32:47,0.538,0.525,16.2,23.1,19.6,47.8,3.2,8.4,22.7,34.8,105,95,20.8,15.3
8,8,2018-11-01,23-255,DEN,@,CLE,W (+19),1,22:21,0.4,0.4,6,25,16.3,17.6,2.5,3.3,28.6,14.2,88,98,4.5,-3.8
9,9,2018-11-03,23-257,DEN,,UTA,W (+15),1,28:54,0.354,0.333,13.1,23.3,18.9,73.8,1.7,0,28.8,21.3,104,91,13.1,12.8
10,10,2018-11-05,23-259,DEN,,BOS,W (+8),1,27:27,0.709,0.667,7.3,35.9,20.1,37.3,0,0,34.7,13.1,126,112,10.7,3.7
11,11,2018-11-07,23-261,DEN,@,MEM,L (-2),1,25:36,0.725,0,4.6,31.3,17,23.4,6.4,0,68.5,15.4,66,88,3.6,-4.8
12,12,2018-11-09,23-263,DEN,,BRK,L (-2),1,33:12,0.701,0.659,22.5,39.7,31.6,22,1.5,5.3,18.5,41.1,124,101,32,17.2
13,13,2018-11-11,23-265,DEN,,MIL,L (-7),1,29:25,0.672,0.643,3.5,24,12.2,33.1,1.7,3.3,16.8,27.1,123,125,17.7,9.9
14,14,2018-11-13,23-267,DEN,,HOU,L (-10),1,32:59,0.457,0.429,17.6,38.8,27.7,34.8,3.3,0,16.4,26.9,105,118,14.1,1.4
15,15,2018-11-15,23-269,DEN,,ATL,W (+45),1,25:22,0.505,0.5,4.9,25.2,17.2,30.4,7.1,3.8,14.4,21.9,114,71,15.4,10.2
16,16,2018-11-17,23-271,DEN,@,NOP,L (-10),1,34:05,0.574,0.55,9.2,22.9,15.8,35.3,1.4,0,4.4,28.2,130,123,23.6,9.8
17,17,2018-11-19,23-273,DEN,@,MIL,L (-6),1,32:34,0.542,0.528,8.7,6.9,7.8,26.1,1.5,0,14,27.5,105,110,14.4,7.4
18,18,2018-11-21,23-275,DEN,@,MIN,W (+2),1,36:42,0.269,0.269,6.4,33.5,19.6,34.3,1.4,0,18.8,20,84,106,6.9,-4.6
19,19,2018-11-23,23-277,DEN,,ORL,W (+25),1,22:52,0.381,0.286,14,34.2,23.9,58,4.4,0,0,14.8,139,86,14.2,16
20,20,2018-11-24,23-278,DEN,@,OKC,W (+7),1,27:11,0.36,0.3,7.1,12.2,9.8,31.1,0,2.8,15.3,38.7,79,102,5.2,-6.3
21,21,2018-11-27,23-281,DEN,,LAL,W (+32),1,22:36,0.47,0.429,0,28.6,15,40.9,2.2,4.1,16.8,33.1,101,82,11.5,10.1
22,22,2018-11-30,23-284,DEN,@,POR,W (+1),1,32:03,0.603,0.583,10,11.2,10.6,35.5,1.6,2.4,7.4,18.4,139,120,16.8,6.9
23,23,2018-12-03,23-287,DEN,@,TOR,W (+3),1,35:30,0.696,0.615,11,23.1,16.5,69.5,2.7,0,10.8,20.9,154,100,31.7,23.5
24,24,2018-12-05,23-289,DEN,@,ORL,W (+6),1,34:38,0.432,0.423,0,27.2,14.8,53.3,1.5,0,6.7,21,114,115,14.8,6.1
25,25,2018-12-07,23-291,DEN,@,CHO,L (-6),1,33:22,0.396,0.333,10.5,21,15.4,28.4,1.5,5.6,16.5,28.7,90,115,10.9,-2.2
26,26,2018-12-08,23-292,DEN,@,ATL,L (-8),1,32:38,0.598,0.529,11.1,22.4,16.3,45.2,2.8,0,4.7,25.6,129,98,25.7,14.1
27,27,2018-12-10,23-294,DEN,,MEM,W (+6),1,38:24,0.752,0.679,9.6,32.1,20.3,27,2.8,0,14.3,26.2,144,112,27.2,11.8
28,28,2018-12-14,23-298,DEN,,OKC,W (+11),1,35:45,0.644,0.563,11.2,29.3,22.1,38.7,4.3,0,24.4,30.2,118,90,23.8,11.7
29,29,2018-12-16,23-300,DEN,,TOR,W (+9),1,34:34,0.613,0.579,11.6,17.7,14.6,26.8,3.1,0,12.4,33.6,118,94,23.1,12.1
