Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2019-10-23,24-246,DEN,@,POR,W (+8),1,23:54,0.672,0.679,17.5,38.5,28.1,22.4,0,0,21.2,33.9,108,97,14.3,4.1
2,2,2019-10-25,24-248,DEN,,PHO,W (+1),1,40:32,0.524,0.444,7.5,30.6,18.5,61.4,1.2,4.5,18.5,28.9,104,96,22.4,9.9
3,3,2019-10-28,24-251,DEN,@,SAC,W (+7),1,28:27,0.291,0.267,9.7,33.7,21.5,11.5,3.7,3.1,11.5,25.1,74,88,5.7,-4.9
4,4,2019-10-29,24-252,DEN,,DAL,L (-3),1,32:56,0.563,0.5,6.3,25.3,15.8,39.2,4.8,0,31.1,17.6,112,109,14.6,8
5,5,2019-10-31,24-254,DEN,@,NOP,L (-15),1,27:08,0.888,0.833,0,33.2,14.7,31.1,1.7,0,21.5,15,148,118,14.6,7.5
6,6,2019-11-02,24-256,DEN,@,ORL,W (+4),1,31:27,0.635,0.607,0,24.3,12.1,37.4,0,0,6,24.8,124,95,15.7,10.2
7,7,2019-11-05,24-259,DEN,,MIA,W (+20),1,22:46,0.362,0.375,0,20.7,11.6,28.8,2.1,3.6,24.3,30.9,69,86,2.9,-7.4
8,8,2019-11-08,24-262,DEN,,PHI,W (+3),1,37:47,0.537,0.5,5.6,22.6,14.1,29,2.6,4.2,4,30.6,113,96,23,8.7
9,9,2019-11-10,24-264,DEN,@,MIN,W (+2),1,35:55,0.411,0.413,8.5,7.6,8,40.2,1.4,2.8,0,27.9,104,94,14.7,9.2
10,10,2019-11-12,24-266,DEN,,ATL,L (-4),1,30:44,0.462,0.395,3.1,22.3,11,31.2,4.8,0,8.5,31.6,106,120,16.4,3.4
11,11,2019-11-14,24-268,DEN,,BRK,W (+8),1,28:02,0.643,0.643,5.9,24.9,15.2,17.5,0,0,0,21.3,137,95,15.7,9
12,12,2019-11-17,24-271,DEN,@,MEM,W (+17),1,25:34,0.643,0.643,0,22.4,11.2,36.2,0,0,22.2,15.2,127,119,9.6,-0.4
13,13,2019-11-20,24-274,DEN,,HOU,W (+10),1,32:26,0.694,0.684,15.1,24.7,19.5,22.6,0,0,26.5,34.1,105,103,17.9,3.3
14,14,2019-11-22,24-276,DEN,,BOS,W (+4),1,35:30,0.48,0.412,8.8,41.9,24.6,45.8,4.2,2.5,13.8,26.6,108,86,21.8,14.2
15,15,2019-11-24,24-278,DEN,,PHO,W (+12),1,32:20,0.444,0.444,12.4,33.4,21.9,20,3.3,0,10,13.4,125,107,12.5,2.6
16,16,2019-11-26,24-280,DEN,,WAS,W (+13),1,24:53,0.5,0.5,9.4,65.5,41,24.6,0,0,27.3,17.7,96,94,10.1,-0.9
17,17,2019-11-30,24-284,DEN,@,SAC,L (-3),1,36:29,0.295,0.273,9.5,19.6,14.8,27.5,0,2.3,25.2,20.6,71,101,4,-8.1
18,18,2019-12-03,24-287,DEN,,LAL,L (-9),1,34:24,0.444,0.333,2.8,13.3,7.7,35.5,4.3,0,25.5,25,82,103,9.7,0.4
19,19,2019-12-05,24-289,DEN,@,NYK,W (+37),1,24:44,0.429,0.429,5.2,39.7,24,36,0,4,0,12.6,146,92,11.2,4.2
20,20,2019-12-06,24-290,DEN,@,BOS,L (-13),1,30:40,0.672,0.643,13.9,28.5,20.1,33.6,1.6,6.7,4.3,32.4,140,106,28.1,23.9
21,21,2019-12-08,24-292,DEN,@,BRK,L (-3),1,33:39,0.548,0.524,6.3,32.1,18.5,39.4,0,0,12.1,33.1,107,109,17.4,4.2
22,22,2019-12-10,24-294,DEN,@,PHI,L (-5),1,33:10,0.577,0.577,0,22.5,11.6,59.2,0,2.7,13.3,21,114,105,16.4,8.1
23,23,2019-12-12,24-296,DEN,,POR,W (+15),1,31:01,0.601,0.571,14.4,27.1,20.5,29.8,0,0,5.7,25.7,144,113,19.5,9.3
24,24,2019-12-14,24-298,DEN,,OKC,W (+8),1,34:53,0.888,0.893,3.4,43.6,23.8,59.3,1.4,0,16,23.4,155,100,32.4,25.7
25,25,2019-12-15,24-299,DEN,,NYK,W (+6),1,35:48,0.526,0.5,8,20.9,14.1,21.9,1.5,2.2,7.8,31,116,111,20.2,5.4
26,26,2019-12-18,24-302,DEN,,ORL,W (+9),1,30:31,0.605,0.571,11.5,20.5,16.3,65.1,1.6,2.7,21.2,26.5,126,105,20.2,14.4
27,27,2019-12-20,24-304,DEN,,MIN,W (+9),1,32:44,0.688,0.688,11,20.5,16.3,50,0,6.5,11.1,24.2,141,104,23.8,15.6
28,28,2019-12-22,24-306,DEN,@,LAL,W (+24),1,27:23,0.812,0.688,12,11.7,11.8,24.2,1.9,3.2,8.3,18.7,173,113,20.4,12.8
29,29,2019-12-23,24-307,DEN,@,PHO,W (+2),1,30:53,0.703,0.615,4.4,40.7,24.2,46.2,1.6,0,11.3,26,145,107,23.7,14.6
30,30,2019-12-25,24-309,DEN,,NOP,L (-12),1,30:55,0.508,0.45,12.2,22.7,16.9,25.3,3.2,0,18.1,38.3,96,112,15,1.8
31,31,2019-12-28,24-312,DEN,,MEM,W (+9),1,32:57,0.702,0.684,6.6,26.5,16.6,52.9,1.4,0,4.3,29.3,148,108,30.1,18.6
32,32,2019-12-29,24-313,DEN,,SAC,W (+5),1,26:30,0.871,0.875,20.1,20.1,20.1,24.7,1.9,0,29.1,23.4,134,122,16.4,6.6
33,33,2019-12-31,24-315,DEN,@,HOU,L (-26),1,31:59,0.602,0.588,6.8,23.7,14.6,20,0,0,25.6,30.1,97,133,12.3,-3.7
34,34,2020-01-02,24-317,DEN,@,IND,W (+8),1,24:11,0.594,0.467,14.9,19.4,17.2,0,0,0,9.7,37.4,125,129,13.6,-5.9
35,35,2020-01-04,24-319,DEN,@,WAS,L (-14),1,30:20,0.535,0.45,7.2,33.3,19.3,18.8,1.6,0,13.3,20.9,111,124,13.4,1.6
36,36,2020-01-06,24-321,DEN,@,ATL,W (+8),1,36:50,0.733,0.72,14.1,13.7,13.9,24.9,2.7,3.4,0,38.7,155,116,42.9,24.7
37,37,2020-01-08,24-323,DEN,@,DAL,W (+1),1,31:15,0.702,0.7,7.5,17.6,12.1,47.6,1.6,3.7,11.3,38.5,130,113,28.4,21.2
38,38,2020-01-11,24-326,DEN,,CLE,L (-8),1,33:35,0.764,0.75,7.9,29.9,17.7,24.2,0,0,7.4,17.8,150,118,20.3,6.8
39,39,2020-01-12,24-327,DEN,,LAC,W (+10),1,31:24,0.601,0.536,7.5,44.2,26.7,33,1.6,0,10.7,26.8,125,101,18.7,9.2
40,40,2020-01-15,24-330,DEN,,CHO,W (+14),1,29:02,0.607,0.556,4.6,25.2,16.1,44.5,1.8,7.2,28.8,22.7,105,87,13.3,6
41,41,2020-01-16,24-331,DEN,@,GSW,W (+3),1,43:48,0.539,0.5,5.1,23.7,14.8,27.7,0,4.8,29.7,27.9,92,117,13.8,-6.8
42,42,2020-01-19,24-334,DEN,,IND,L (-8),1,31:44,0.705,0.688,3.9,31.7,18.4,23.4,4.8,0,4.5,30.3,145,111,27.8,18.8
43,43,2020-01-20,24-335,DEN,@,MIN,W (+7),1,34:16,0.507,0.467,15.9,22,19.2,21.1,1.5,0,23,28.2,99,106,12.7,-3.2
44,44,2020-01-22,24-337,DEN,@,HOU,L (-16),1,34:08,0.439,0.421,11.7,25,18.1,45.7,1.4,2.3,21.7,34.2,92,120,14.8,-0.8
45,45,2020-01-24,24-339,DEN,@,NOP,W (+7),1,35:29,0.574,0.475,16.6,15.4,16.1,34,5.6,2.5,7.8,27.4,138,103,29.4,16
46,46,2020-01-26,24-341,DEN,,HOU,W (+7),1,38:26,0.569,0.5,6.2,27.2,17.4,41.9,2.5,0,22.2,29.2,110,105,21.1,4.4
47,47,2020-01-28,24-343,DEN,@,MEM,L (-8),1,38:43,0.671,0.594,7.7,33.5,19,28.1,0,1.9,30,29.2,102,108,17.1,1.9
48,48,2020-01-30,24-345,DEN,,UTA,W (+6),1,34:44,0.647,0.605,0,13.8,7.1,55.7,4.4,0,12.2,33,126,102,25.3,15.4
49,49,2020-01-31,24-346,DEN,@,MIL,W (+12),1,33:16,0.441,0.441,0,28.9,15,34.3,1.3,0,15,24.9,97,106,11.6,-2.9
