Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2023-04-16,28-056,DEN,,MIN,W (+29),1,28:29,0.488,0.5,19.1,31.6,25.6,32.7,1.8,0,7,22.5,124,83,14.2,6.4
2,2,2023-04-19,28-059,DEN,,MIN,W (+9),1,37:14,0.588,0.553,11.1,21.5,16.3,35,0,0,11.6,31.6,126,125,22.1,6
3,3,2023-04-21,28-061,DEN,@,MIN,W (+9),1,38:03,0.769,0.769,8.1,27.7,19.3,41.3,1.3,0,23.5,20.7,137,113,22.4,10.2
4,4,2023-04-23,28-063,DEN,@,MIN,L (-6),1,39:08,0.687,0.673,5.8,23.9,15.2,37.5,2.7,0,11.3,41.9,128,109,34.3,22.2
5,5,2023-04-25,28-065,DEN,,MIN,W (+3),1,41:55,0.419,0.328,21.5,23.5,22.4,55.3,2.4,4.8,5.6,35.9,118,110,27.4,11.1
6,6,2023-04-29,28-069,DEN,,PHO,W (+18),1,32:56,0.517,0.452,25.3,39.1,31.8,20.9,0,0,11.5,32.7,123,112,21.9,4.8
7,7,2023-05-01,28-071,DEN,,PHO,W (+10),1,41:16,0.614,0.6,10.6,32.2,23.3,35.8,2.6,1.8,8.6,42.5,118,88,32.8,17.7
8,8,2023-05-05,28-075,DEN,@,PHO,L (-7),1,41:56,0.666,0.605,13.7,30,21.2,64,0,1.7,21,27.6,131,120,33.6,16.5
9,9,2023-05-07,28-077,DEN,@,PHO,L (-5),1,39:27,0.742,0.7,3.5,10.7,7.1,52.1,0,2.3,14.4,47.4,137,141,42.4,18.7
10,10,2023-05-09,28-079,DEN,,PHO,W (+16),1,37:33,0.653,0.65,11.6,24,18.1,57.5,1.3,4.2,15.3,31.2,129,101,30.1,16
11,11,2023-05-11,28-081,DEN,@,PHO,W (+25),1,37:34,0.775,0.722,11.3,24.8,18.3,56,3.9,2.5,8.8,27.4,159,97,37.3,23.6
12,12,2023-05-16,28-086,DEN,,LAL,W (+6),1,42:26,0.828,0.794,17,45.9,30.9,43.5,0,3.8,19.6,25.8,157,130,39.8,19
13,13,2023-05-18,28-088,DEN,,LAL,W (+5),1,41:57,0.486,0.429,9.7,35.4,21.9,47.8,3.5,0,17.5,29.3,107,99,23.4,8.4
14,14,2023-05-20,28-090,DEN,@,LAL,W (+11),1,38:15,0.543,0.526,3.2,13.9,9,30.7,1.3,0,8.3,29.8,114,114,18.3,2.7
15,15,2023-05-22,28-092,DEN,@,LAL,W (+2),1,45:16,0.563,0.521,7.8,31.5,19,47,1.2,4.8,10.1,30.6,127,117,29.8,13.2
16,16,2023-06-01,28-102,DEN,,MIA,W (+11),1,40:27,0.781,0.708,0,23.7,13.5,54.5,1.3,2.1,10.4,23.4,156,98,33.1,22
