Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2020-12-23,25-308,DEN,,SAC,L (-2),1,41:50,11,18,0.611,1,2,0.5,6,9,0.667,3,12,15,14,0,2,6,3,29,29.3,5
2,2,2020-12-25,25-310,DEN,,LAC,L (-13),1,38:29,7,13,0.538,1,4,0.25,9,11,0.818,3,6,9,10,1,0,5,2,24,23,-20
3,3,2020-12-28,25-313,DEN,,HOU,W (+13),1,34:07,8,11,0.727,1,1,1,2,3,0.667,4,8,12,18,3,1,3,2,19,31.8,20
4,4,2020-12-29,25-314,DEN,@,SAC,L (-10),1,38:33,9,14,0.643,1,3,0.333,7,7,1,1,9,10,12,2,0,10,4,26,22,1
5,5,2021-01-01,25-317,DEN,,PHO,L (-3),1,29:31,7,13,0.538,3,5,0.6,0,0,,3,6,9,11,1,0,1,5,17,20.3,1
6,6,2021-01-03,25-319,DEN,@,MIN,W (+15),1,31:42,8,12,0.667,0,1,0,3,3,1,3,9,12,12,0,0,7,5,19,18,27
7,7,2021-01-05,25-321,DEN,,MIN,W (+7),1,36:34,12,20,0.6,1,1,1,10,12,0.833,5,10,15,6,3,1,4,5,35,33.4,13
8,8,2021-01-07,25-323,DEN,,DAL,L (-7),1,41:13,14,31,0.452,4,10,0.4,6,10,0.6,1,10,11,4,2,0,3,4,38,24.2,-6
9,9,2021-01-09,25-325,DEN,@,PHI,W (+12),1,29:02,6,8,0.75,0,0,,3,3,1,1,8,9,12,0,0,4,2,15,18.5,24
10,10,2021-01-10,25-326,DEN,@,NYK,W (+25),1,30:04,9,15,0.6,1,3,0.333,3,3,1,3,7,10,5,1,1,2,1,22,22.1,8
11,11,2021-01-12,25-328,DEN,@,BRK,L (-6),1,34:20,8,17,0.471,1,4,0.25,6,6,1,1,7,8,11,7,1,1,2,23,30.7,-11
12,12,2021-01-14,25-330,DEN,,GSW,W (+10),1,35:54,8,16,0.5,0,4,0,7,7,1,1,13,14,10,3,0,3,4,23,25,10
13,13,2021-01-17,25-333,DEN,,UTA,L (-4),1,39:50,14,23,0.609,3,6,0.5,4,4,1,8,6,14,9,2,1,6,4,35,33.3,6
14,14,2021-01-19,25-335,DEN,,OKC,W (+18),1,28:24,12,21,0.571,0,4,0,3,3,1,5,7,12,6,1,1,1,2,27,26.8,12
15,15,2021-01-22,25-338,DEN,@,PHO,W (+4),1,39:42,15,27,0.556,1,3,0.333,0,1,0,6,4,10,8,3,0,3,4,31,27.1,-13
16,16,2021-01-23,25-339,DEN,@,PHO,W (+8),1,42:00,9,21,0.429,0,0,,11,14,0.786,7,15,22,6,1,0,6,3,29,24.1,8
17,17,2021-01-25,25-341,DEN,@,DAL,W (+4),1,33:55,8,13,0.615,0,2,0,4,4,1,3,7,10,4,2,1,6,2,20,17,-10
18,18,2021-01-27,25-343,DEN,@,MIA,W (+27),1,34:06,9,14,0.643,1,5,0.2,2,2,1,2,9,11,3,0,1,1,2,21,19.9,16
19,19,2021-01-29,25-345,DEN,@,SAS,L (-10),1,38:43,14,24,0.583,5,11,0.455,2,4,0.5,1,9,10,5,1,1,4,3,35,26.4,-9
20,20,2021-01-31,25-347,DEN,,UTA,W (+11),1,37:20,17,26,0.654,4,4,1,9,10,0.9,3,9,12,5,2,1,3,2,47,42.4,14
21,21,2021-02-04,25-351,DEN,@,LAL,L (-21),1,34:56,6,16,0.375,0,0,,1,2,0.5,3,6,9,6,1,0,3,4,13,8.3,-8
22,22,2021-02-06,25-353,DEN,@,SAC,L (-5),1,41:24,20,33,0.606,3,6,0.5,7,7,1,1,7,8,12,1,3,1,2,50,47.4,2
23,23,2021-02-08,25-355,DEN,,MIL,L (-13),1,39:06,13,26,0.5,3,6,0.5,6,6,1,3,9,12,6,0,0,0,3,35,29.8,-2
24,24,2021-02-10,25-357,DEN,,CLE,W (+38),1,29:50,5,7,0.714,0,0,,2,2,1,1,5,6,12,2,0,2,3,12,18.5,32
25,25,2021-02-12,25-359,DEN,,OKC,W (+2),1,36:37,9,16,0.563,2,7,0.286,2,2,1,3,10,13,9,1,1,2,4,22,23.9,5
26,26,2021-02-14,25-361,DEN,,LAL,W (+17),1,34:46,8,17,0.471,1,5,0.2,6,6,1,4,12,16,10,0,1,3,2,23,24.6,16
27,27,2021-02-16,25-363,DEN,@,BOS,L (-13),1,37:33,16,23,0.696,3,5,0.6,8,8,1,3,3,6,5,2,1,3,3,43,38.3,2
28,28,2021-02-17,25-364,DEN,@,WAS,L (-2),1,36:53,12,21,0.571,3,5,0.6,6,6,1,1,6,7,9,2,0,3,4,33,29.3,5
29,29,2021-02-19,26-000,DEN,@,CLE,W (+17),1,32:48,5,8,0.625,1,2,0.5,5,5,1,2,10,12,10,4,1,3,2,16,24.7,13
30,30,2021-02-21,26-002,DEN,@,ATL,L (-8),1,36:42,5,15,0.333,2,5,0.4,3,4,0.75,2,8,10,6,3,0,4,5,15,11.1,-7
31,31,2021-02-23,26-004,DEN,,POR,W (+5),1,37:44,17,32,0.531,3,6,0.5,4,4,1,3,2,5,5,1,0,0,1,41,32.2,0
32,32,2021-02-25,26-006,DEN,,WAS,L (-2),1,37:42,9,18,0.5,3,4,0.75,3,3,1,2,9,11,7,1,2,1,3,24,24.2,-2
33,33,2021-02-27,26-008,DEN,@,OKC,W (+30),1,30:07,8,10,0.8,1,2,0.5,2,2,1,1,10,11,13,2,0,0,3,19,28.8,34
34,34,2021-03-01,26-010,DEN,@,CHI,W (+6),1,38:25,17,28,0.607,0,3,0,5,5,1,2,12,14,9,1,2,1,4,39,37.3,12
