Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
35,35,2021-03-02,26-011,DEN,@,MIL,W (+31),1,36:24,15,23,0.652,2,3,0.667,5,5,1,4,6,10,11,2,0,2,1,37,38.8,18
36,36,2021-03-04,26-013,DEN,@,IND,W (+10),1,37:00,9,18,0.5,1,2,0.5,1,2,0.5,2,10,12,8,0,0,7,2,20,12.8,-3
37,37,2021-03-12,26-021,DEN,@,MEM,W (+1),1,36:16,13,22,0.591,1,2,0.5,1,2,0.5,2,13,15,7,2,0,1,1,28,28.2,-3
38,38,2021-03-13,26-022,DEN,,DAL,L (-13),1,36:02,10,20,0.5,1,5,0.2,5,6,0.833,2,7,9,11,0,0,4,0,26,22.8,-12
39,39,2021-03-15,26-024,DEN,,IND,W (+15),1,34:14,11,25,0.44,2,4,0.5,8,10,0.8,6,8,14,5,4,1,1,2,32,31.1,-9
40,40,2021-03-17,26-026,DEN,,CHO,W (+25),1,28:37,6,7,0.857,0,0,,0,0,,2,8,10,10,0,0,3,2,12,16.5,27
41,41,2021-03-19,26-028,DEN,,CHI,W (+4),1,42:08,14,23,0.609,2,4,0.5,4,6,0.667,5,10,15,9,2,1,1,4,34,35.6,5
42,42,2021-03-21,26-030,DEN,,NOP,L (-5),1,34:37,13,19,0.684,3,4,0.75,0,0,,3,7,10,10,1,1,5,3,29,27.6,3
43,43,2021-03-23,26-032,DEN,@,ORL,W (+11),1,36:15,11,17,0.647,2,4,0.5,4,4,1,4,11,15,10,2,1,3,2,28,32.5,11
44,44,2021-03-24,26-033,DEN,@,TOR,L (-24),1,29:38,8,14,0.571,0,2,0,4,4,1,4,6,10,5,1,0,4,1,20,18.1,-13
45,45,2021-03-26,26-035,DEN,@,NOP,W (+5),1,41:07,17,30,0.567,3,5,0.6,0,0,,2,4,6,9,2,1,1,3,37,32.2,23
46,46,2021-03-28,26-037,DEN,,ATL,W (+24),1,28:13,7,12,0.583,1,2,0.5,1,2,0.5,3,7,10,8,1,2,0,0,16,22.2,20
47,47,2021-03-30,26-039,DEN,,PHI,W (+9),1,34:25,8,14,0.571,0,1,0,5,6,0.833,3,7,10,5,0,0,5,1,21,16.3,8
48,48,2021-04-01,26-041,DEN,@,LAC,W (+7),1,35:50,6,16,0.375,2,3,0.667,0,0,,1,6,7,7,0,1,4,3,14,8.1,13
49,49,2021-04-04,26-044,DEN,,ORL,W (+10),1,37:42,5,11,0.455,0,1,0,7,9,0.778,2,7,9,16,1,0,4,4,17,20.6,15
50,50,2021-04-06,26-046,DEN,,DET,W (+15),1,26:46,13,16,0.813,0,0,,1,2,0.5,2,6,8,11,1,1,1,3,27,31,9
51,51,2021-04-07,26-047,DEN,,SAS,W (+10),1,30:27,11,18,0.611,0,2,0,3,4,0.75,1,8,9,10,1,0,6,0,25,21.5,5
52,52,2021-04-09,26-049,DEN,,SAS,W (+2),1,38:22,9,17,0.529,2,2,1,6,6,1,5,8,13,14,1,0,6,4,26,26.8,7
53,53,2021-04-11,26-051,DEN,,BOS,L (-18),1,31:30,6,15,0.4,0,2,0,5,7,0.714,2,8,10,11,1,1,2,3,17,18.1,9
54,54,2021-04-12,26-052,DEN,@,GSW,L (-9),1,37:17,10,21,0.476,1,5,0.2,6,8,0.75,4,8,12,8,1,1,4,1,27,23.6,-14
55,55,2021-04-14,26-054,DEN,,MIA,W (+17),1,32:02,6,14,0.429,1,2,0.5,4,5,0.8,4,6,10,11,1,2,2,3,17,20.7,7
56,56,2021-04-16,26-056,DEN,@,HOU,W (+29),1,27:05,10,12,0.833,1,1,1,8,9,0.889,6,10,16,7,2,0,0,3,29,37.1,9
57,57,2021-04-19,26-059,DEN,,MEM,W (+2),1,45:04,20,31,0.645,2,6,0.333,5,6,0.833,7,8,15,8,0,1,7,3,47,38.3,3
58,58,2021-04-21,26-061,DEN,@,POR,W (+1),1,35:38,9,18,0.5,1,6,0.167,6,7,0.857,4,5,9,5,0,1,4,0,25,20.1,3
59,59,2021-04-23,26-063,DEN,@,GSW,L (-21),1,33:24,7,16,0.438,0,3,0,5,5,1,0,6,6,6,0,0,1,2,19,14.8,-18
60,60,2021-04-24,26-064,DEN,,HOU,W (+13),1,29:01,10,14,0.714,0,0,,4,6,0.667,0,8,8,12,1,1,4,4,24,24.3,10
61,61,2021-04-26,26-066,DEN,,MEM,W (+24),1,29:40,6,12,0.5,2,3,0.667,10,10,1,1,14,15,5,2,0,6,3,24,21.2,11
62,62,2021-04-28,26-068,DEN,,NOP,W (+2),1,36:29,12,20,0.6,2,4,0.5,6,8,0.75,0,7,7,8,3,3,6,1,32,28.4,7
63,63,2021-04-29,26-069,DEN,,TOR,W (+10),1,28:26,8,13,0.615,2,3,0.667,1,1,1,4,7,11,2,1,0,1,1,19,19,-4
64,64,2021-05-01,26-071,DEN,@,LAC,W (+6),1,33:22,9,17,0.529,2,6,0.333,10,10,1,2,12,14,7,0,1,0,4,30,30.7,-3
65,65,2021-05-03,26-073,DEN,@,LAL,L (-4),1,35:36,12,28,0.429,1,4,0.25,7,8,0.875,3,6,9,5,2,1,2,4,32,23.3,3
66,66,2021-05-05,26-075,DEN,,NYK,W (+16),1,29:07,10,16,0.625,0,2,0,12,15,0.8,3,9,12,6,2,2,4,3,32,30.8,15
67,67,2021-05-07,26-077,DEN,@,UTA,L (-7),1,35:02,9,11,0.818,2,2,1,4,4,1,2,7,9,13,0,1,5,5,24,26.2,-4
68,68,2021-05-08,26-078,DEN,,BRK,L (-6),1,36:56,10,21,0.476,0,5,0,9,9,1,3,4,7,6,0,0,5,3,29,19.6,3
69,69,2021-05-11,26-081,DEN,@,CHO,W (+5),1,32:57,7,16,0.438,0,2,0,16,17,0.941,2,9,11,6,0,0,2,2,30,26.7,12
70,70,2021-05-13,26-083,DEN,@,MIN,W (+11),1,32:14,14,21,0.667,0,3,0,3,3,1,6,8,14,4,1,1,2,2,31,30.2,8
71,71,2021-05-14,26-084,DEN,@,DET,W (+13),1,26:28,7,11,0.636,0,0,,6,7,0.857,3,12,15,11,0,0,1,2,20,26.3,18
72,72,2021-05-16,26-086,DEN,@,POR,L (-16),1,16:41,9,17,0.529,0,3,0,3,3,1,1,2,3,2,1,0,1,3,21,14.2,-13
