Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2020-08-17,25-180,DEN,,UTA,W (+10),1,42:10,11,21,0.524,4,7,0.571,3,3,1,1,9,10,3,2,1,4,2,29,22.1,7
2,2,2020-08-19,25-182,DEN,,UTA,L (-19),1,31:40,10,21,0.476,1,2,0.5,7,10,0.7,5,6,11,6,0,0,2,3,28,22.4,-23
3,3,2020-08-21,25-184,DEN,@,UTA,L (-37),1,31:42,6,13,0.462,2,6,0.333,1,2,0.5,0,5,5,6,0,1,2,1,15,11.9,-21
4,4,2020-08-23,25-186,DEN,@,UTA,L (-2),1,39:20,12,24,0.5,3,10,0.3,2,2,1,3,4,7,6,0,0,2,3,29,21.3,-1
5,5,2020-08-25,25-188,DEN,,UTA,W (+10),1,42:51,12,19,0.632,7,11,0.636,0,0,,0,6,6,4,0,1,2,4,31,24.2,15
6,6,2020-08-30,25-193,DEN,@,UTA,W (+12),1,36:26,7,15,0.467,3,5,0.6,5,5,1,2,2,4,9,3,0,2,4,22,22,1
7,7,2020-09-01,25-195,DEN,,UTA,W (+2),1,38:55,12,23,0.522,2,5,0.4,4,4,1,3,11,14,4,0,0,2,5,30,22.9,2
8,8,2020-09-03,25-197,DEN,@,LAC,L (-23),1,29:57,6,14,0.429,0,2,0,3,4,0.75,1,2,3,3,0,0,1,2,15,8.8,-24
9,9,2020-09-05,25-199,DEN,@,LAC,W (+9),1,37:15,10,17,0.588,4,5,0.8,2,2,1,1,17,18,4,0,3,6,4,26,21.2,18
10,10,2020-09-07,25-201,DEN,,LAC,L (-6),1,38:38,13,24,0.542,3,8,0.375,3,4,0.75,1,11,12,8,1,0,7,4,32,22,-8
11,11,2020-09-09,25-203,DEN,,LAC,L (-11),1,38:53,11,23,0.478,2,7,0.286,2,2,1,1,10,11,6,0,1,3,4,26,18.3,-7
12,12,2020-09-11,25-205,DEN,@,LAC,W (+6),1,40:07,9,17,0.529,2,6,0.333,2,4,0.5,1,13,14,5,1,2,6,3,22,16.2,13
13,13,2020-09-13,25-207,DEN,,LAC,W (+13),1,39:38,13,22,0.591,4,6,0.667,4,5,0.8,2,12,14,7,1,1,5,2,34,29.2,9
14,14,2020-09-15,25-209,DEN,@,LAC,W (+15),1,39:42,5,13,0.385,0,4,0,6,6,1,3,19,22,13,2,3,5,4,16,23.3,22
15,15,2020-09-18,25-212,DEN,@,LAL,L (-12),1,25:25,8,14,0.571,0,0,,5,7,0.714,4,2,6,2,0,1,4,5,21,13.1,-19
16,16,2020-09-20,25-214,DEN,@,LAL,L (-2),1,38:39,9,20,0.45,1,4,0.25,11,12,0.917,1,5,6,9,4,0,2,4,30,28.1,-6
17,17,2020-09-22,25-216,DEN,,LAL,W (+8),1,37:24,9,14,0.643,1,3,0.333,3,4,0.75,3,7,10,5,1,1,5,4,22,18.2,7
18,18,2020-09-24,25-218,DEN,,LAL,L (-6),1,35:42,6,13,0.462,2,3,0.667,2,2,1,3,4,7,4,2,0,1,5,16,14.4,2
19,19,2020-09-26,25-220,DEN,@,LAL,L (-10),1,29:57,9,16,0.563,1,4,0.25,1,1,1,2,5,7,5,3,0,1,5,20,18.8,-1
