Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2019-04-13,24-053,DEN,,SAS,L (-5),1,36:21,4,9,0.444,0,3,0,2,2,1,3,11,14,14,2,0,3,3,10,18.3,0
2,2,2019-04-16,24-056,DEN,,SAS,W (+9),1,39:26,7,15,0.467,2,3,0.667,5,6,0.833,3,10,13,8,2,0,3,4,21,21,17
3,3,2019-04-18,24-058,DEN,@,SAS,L (-10),1,32:09,8,14,0.571,3,6,0.5,3,4,0.75,2,6,8,7,0,0,1,3,22,20.9,-25
4,4,2019-04-20,24-060,DEN,@,SAS,W (+14),1,38:59,10,22,0.455,1,4,0.25,8,8,1,5,7,12,8,0,0,0,3,29,27.6,17
5,5,2019-04-23,24-063,DEN,,SAS,W (+18),1,32:55,5,11,0.455,2,4,0.5,4,4,1,2,9,11,8,2,1,3,3,16,18.5,27
6,6,2019-04-25,24-065,DEN,@,SAS,L (-17),1,38:09,19,30,0.633,2,6,0.333,3,4,0.75,6,6,12,9,2,1,2,2,43,41.4,-11
7,7,2019-04-27,24-067,DEN,,SAS,W (+4),1,43:27,9,26,0.346,0,4,0,3,4,0.75,5,10,15,10,1,3,0,5,21,20.6,-1
8,8,2019-04-29,24-069,DEN,,POR,W (+8),1,41:29,11,18,0.611,3,5,0.6,12,12,1,2,7,9,6,3,2,2,3,37,37.7,16
9,9,2019-05-01,24-071,DEN,,POR,L (-7),1,37:11,7,17,0.412,0,1,0,2,4,0.5,4,10,14,7,1,0,2,5,16,13.8,2
10,10,2019-05-03,24-073,DEN,@,POR,L (-3),1,64:58,13,25,0.52,4,7,0.571,3,5,0.6,4,14,18,14,1,2,8,4,33,29.5,5
11,11,2019-05-05,24-075,DEN,@,POR,W (+4),1,38:30,8,15,0.533,1,1,1,4,4,1,6,6,12,11,2,0,3,4,21,24.8,17
12,12,2019-05-07,24-077,DEN,,POR,W (+26),1,34:13,10,18,0.556,0,3,0,5,6,0.833,6,13,19,6,0,0,3,6,25,22.9,26
13,13,2019-05-09,24-079,DEN,@,POR,L (-11),1,36:51,10,15,0.667,2,3,0.667,7,8,0.875,2,10,12,8,0,0,4,6,29,25.7,-5
14,14,2019-05-12,24-082,DEN,,POR,L (-4),1,41:54,11,26,0.423,2,6,0.333,5,7,0.714,4,9,13,2,0,4,2,3,29,20.9,-2
