Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
5,5.0,2022-10-26,27-249,DEN,,LAL,W (+11),1,34:48,12.0,17.0,0.706,0.0,4.0,0.0,7.0,7.0,1.0,1.0,12.0,13.0,9.0,4.0,0.0,3.0,3.0,31.0,34.3,28.0,0.419,0.328,21.5,23.5,22.4,55.3,2.4,4.8,5.6,35.9,118.0,110.0,11.1
5,5.0,2023-04-25,28-065,DEN,,MIN,W (+3),1,41:55,8.0,29.0,0.276,3.0,8.0,0.375,9.0,10.0,0.9,9.0,8.0,17.0,12.0,2.0,2.0,2.0,4.0,28.0,27.4,3.0,0.772,0.706,2.8,31.8,17.8,48.8,5.4,0.0,13.0,28.4,141.0,89.0,20.2
5,5.0,2023-04-25,28-065,DEN,,MIN,W (+3),1,41:55,8.0,29.0,0.276,3.0,8.0,0.375,9.0,10.0,0.9,9.0,8.0,17.0,12.0,2.0,2.0,2.0,4.0,28.0,27.4,3.0,0.419,0.328,21.5,23.5,22.4,55.3,2.4,4.8,5.6,35.9,118.0,110.0,11.1
6,6.0,2022-10-28,27-251,DEN,,UTA,W (+16),1,25:28,3.0,10.0,0.3,0.0,4.0,0.0,6.0,8.0,0.75,3.0,7.0,10.0,6.0,1.0,1.0,1.0,1.0,12.0,14.1,8.0,0.444,0.3,12.0,26.9,19.6,33.9,2.0,3.6,6.9,24.4,125.0,98.0,8.0
6,6.0,2022-10-28,27-251,DEN,,UTA,W (+16),1,25:28,3.0,10.0,0.3,0.0,4.0,0.0,6.0,8.0,0.75,3.0,7.0,10.0,6.0,1.0,1.0,1.0,1.0,12.0,14.1,8.0,0.517,0.452,25.3,39.1,31.8,20.9,0.0,0.0,11.5,32.7,123.0,112.0,4.8
6,6.0,2023-04-29,28-069,DEN,,PHO,W (+18),1,32:56,9.0,21.0,0.429,1.0,2.0,0.5,5.0,5.0,1.0,8.0,11.0,19.0,5.0,0.0,0.0,3.0,1.0,24.0,21.9,19.0,0.444,0.3,12.0,26.9,19.6,33.9,2.0,3.6,6.9,24.4,125.0,98.0,8.0
6,6.0,2023-04-29,28-069,DEN,,PHO,W (+18),1,32:56,9.0,21.0,0.429,1.0,2.0,0.5,5.0,5.0,1.0,8.0,11.0,19.0,5.0,0.0,0.0,3.0,1.0,24.0,21.9,19.0,0.517,0.452,25.3,39.1,31.8,20.9,0.0,0.0,11.5,32.7,123.0,112.0,4.8
7,7.0,2022-10-30,27-253,DEN,@,LAL,L (-11),1,35:52,8.0,16.0,0.5,1.0,5.0,0.2,6.0,7.0,0.857,4.0,10.0,14.0,6.0,0.0,2.0,2.0,0.0,23.0,24.0,0.0,0.603,0.531,10.5,27.9,18.9,26.5,0.0,4.1,9.5,25.0,130.0,120.0,9.4
7,7.0,2022-10-30,27-253,DEN,@,LAL,L (-11),1,35:52,8.0,16.0,0.5,1.0,5.0,0.2,6.0,7.0,0.857,4.0,10.0,14.0,6.0,0.0,2.0,2.0,0.0,23.0,24.0,0.0,0.614,0.6,10.6,32.2,23.3,35.8,2.6,1.8,8.6,42.5,118.0,88.0,17.7
7,7.0,2023-05-01,28-071,DEN,,PHO,W (+10),1,41:16,17.0,30.0,0.567,2.0,6.0,0.333,3.0,4.0,0.75,3.0,13.0,16.0,5.0,2.0,1.0,3.0,2.0,39.0,32.8,2.0,0.603,0.531,10.5,27.9,18.9,26.5,0.0,4.1,9.5,25.0,130.0,120.0,9.4
