Unnamed: 0_level_0,Unnamed: 1_level_0,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Unnamed: 19_level_0,Shooting,Shooting,Shooting,Unnamed: 23_level_0,Advanced,Advanced,Advanced,Advanced,Unnamed: 28_level_0,Per Game,Per Game,Per Game,Per Game
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,&nbsp,MP,PTS,TRB,AST
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,&nbsp,MP,PTS,TRB,AST
Minutes,40+,25,25,1058,326,565,44,106,171,206,86,339,205,34,31,92,86,867,,.577,.415,.830,,.661,30.9,130,113,,42.3,34.7,13.6,8.2
,30-39,348,346,12029,3157,5722,422,1226,1519,1827,1002,4149,2683,477,269,1155,955,8255,,.552,.344,.831,,.632,27.9,125,108,,34.6,23.7,11.9,7.7
,20-29,174,151,4503,1014,1831,114,337,444,539,399,1562,972,172,106,400,486,2586,,.554,.338,.824,,.625,23.8,124,106,,25.9,14.9,9.0,5.6
,10-19,44,31,730,129,245,13,32,70,87,70,215,98,31,17,57,106,341,,.527,.406,.805,,.602,20.3,116,108,,16.6,7.8,4.9,2.2
,0-9,5,2,19,2,4,0,1,1,2,3,8,1,0,0,5,8,5,,.500,.000,.500,,.512,21.5,63,103,,3.9,1.0,1.6,0.2
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,&nbsp,MP,PTS,TRB,AST
Rest,0 Days,99,88,3013,741,1368,84,272,387,467,278,1041,607,106,62,289,262,1953,,.542,.309,.829,,.621,26.9,123,109,,30.4,19.7,10.5,6.1
,1 Day,360,344,11262,2905,5257,370,1064,1331,1600,937,3841,2437,452,272,1013,988,7511,,.553,.348,.832,,.630,27.1,125,108,,31.3,20.9,10.7,6.8
,2 Days,86,77,2559,625,1119,88,239,327,396,233,884,580,97,52,234,251,1665,,.559,.368,.826,,.644,25.9,127,105,,29.8,19.4,10.3,6.7
,3+ Days,51,46,1504,357,623,51,127,160,198,112,507,335,59,37,173,140,925,,.573,.402,.808,,.651,25.5,121,108,,29.5,18.1,9.9,6.6
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,&nbsp,MP,PTS,TRB,AST
Conference,Eastern,225,213,6960,1802,3254,243,651,826,1005,608,2406,1517,275,167,592,568,4673,,.554,.373,.822,,.632,26.8,127,108,,30.9,20.8,10.7,6.7
,Western,371,342,11379,2826,5113,350,1051,1379,1656,952,3867,2442,439,256,1117,1073,7381,,.553,.333,.833,,.632,26.7,123,108,,30.7,19.9,10.4,6.6
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,&nbsp,MP,PTS,TRB,AST
Division,Atlantic,76,73,2334,622,1090,74,212,313,376,213,816,491,73,63,198,185,1631,,.571,.349,.832,,.650,27.1,129,109,,30.7,21.5,10.7,6.5
,Central,71,67,2171,576,1035,84,209,241,286,173,693,497,100,50,190,176,1477,,.557,.402,.843,,.636,27.2,128,108,,30.6,20.8,9.8,7.0
,Northwest,115,101,3572,877,1613,110,355,422,505,288,1173,772,119,88,327,361,2286,,.544,.310,.836,,.623,26.6,124,108,,31.1,19.9,10.2,6.7
,Pacific,126,120,3864,905,1690,101,333,539,639,326,1341,815,163,85,369,348,2450,,.536,.303,.844,,.621,26.3,123,108,,30.7,19.4,10.6,6.5
,Southeast,78,73,2455,604,1129,85,230,272,343,222,897,529,102,54,204,207,1565,,.535,.370,.793,,.611,26.2,124,107,,31.5,20.1,11.5,6.8
,Southwest,130,121,3943,1044,1810,139,363,418,512,338,1353,855,157,83,421,364,2645,,.577,.383,.816,,.650,27.2,123,109,,30.3,20.3,10.4,6.6
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,&nbsp,MP,PTS,TRB,AST
Opponent,Atlanta,16,16,481,114,228,17,59,45,65,50,175,101,27,14,31,46,290,,.500,.288,.692,,.565,25.7,121,106,,30.1,18.1,10.9,6.3
