Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
27,22,2021-12-13,26-297,DEN,,WAS,W (+6),1,30:36,0.743,0.679,8,52.3,33.1,61.7,4.6,2.8,17.5,33.6,134,92,33.5,24.7
28,23,2021-12-15,26-299,DEN,,MIN,L (-17),1,34:57,0.742,0.75,6.5,28.2,17,66,1.4,0,18,27.4,132,124,26.3,14.6
29,24,2021-12-17,26-301,DEN,@,ATL,W (+18),1,26:06,0.751,0.708,11.9,33.4,24.5,36.5,5.3,0,18.4,27.8,138,100,21.5,11.2
30,25,2021-12-22,26-306,DEN,@,OKC,L (-14),1,24:52,0.658,0.611,0,27,13.6,24.8,0,6.4,23.3,23.4,101,106,11.3,4.3
31,26,2021-12-23,26-307,DEN,,CHO,L (-8),1,35:07,0.411,0.397,17.1,36.6,27.6,30.7,2.6,0,14.5,47.7,84,101,18.2,1.3
32,27,2021-12-26,26-310,DEN,@,LAC,W (+3),1,37:30,0.48,0.396,16,44.5,30,37.3,2.6,4.3,12.9,34.9,105,90,25.2,10
33,28,2021-12-28,26-312,DEN,@,GSW,W (+3),1,35:19,0.488,0.421,14.2,48.8,29.7,29.4,5.9,3.4,26.2,38.8,85,78,18.2,6.9
34,29,2022-01-01,26-316,DEN,@,HOU,W (+13),1,25:09,0.752,0.708,5.3,41.5,25.6,18.6,0,4.4,20,32.9,125,107,18.9,4.1
35,30,2022-01-03,26-318,DEN,@,DAL,L (-14),1,34:44,0.683,0.639,16.3,40.4,29.5,26.2,3,0,13.2,30,128,105,25.1,14.3
36,31,2022-01-05,26-320,DEN,,UTA,L (-6),1,37:14,0.662,0.618,6.1,55.7,31.5,48.7,0,5.1,20.3,29.8,121,108,28.1,15.5
37,32,2022-01-07,26-322,DEN,,SAC,W (+10),1,33:37,0.702,0.725,3.6,26.8,16.2,35.1,2.9,4.5,7.8,35.5,132,104,31.1,16.6
38,33,2022-01-09,26-324,DEN,@,OKC,W (+4),1,32:43,0.474,0.405,24.5,31.9,28.1,34.8,1.6,0,7.9,33.3,120,102,22.3,10.3
39,34,2022-01-11,26-326,DEN,@,LAC,L (-2),1,36:38,0.706,0.679,16,22.8,19.6,51.9,1.4,0,25.2,24.2,117,93,21.5,14
40,35,2022-01-13,26-328,DEN,,POR,W (+32),1,28:26,0.883,0.85,0,30,18.3,30.7,0,7.3,20.9,22.6,151,104,21.1,11.2
41,36,2022-01-15,26-330,DEN,,LAL,W (+37),1,28:10,0.66,0.625,8.1,34.1,22.2,63.2,1.8,0,18.9,25.9,144,100,22.5,17.8
42,37,2022-01-16,26-331,DEN,,UTA,L (-23),1,36:44,0.647,0.611,8.2,37.3,21.8,63.2,2.7,0,13.4,27.1,130,121,28.9,18.9
43,38,2022-01-19,26-334,DEN,,LAC,W (+2),1,41:16,0.765,0.7,18.7,20.9,19.8,46.8,3.7,2.2,13.5,39.3,147,118,48.2,24.3
44,39,2022-01-21,26-336,DEN,,MEM,L (-4),1,40:11,0.751,0.75,8,23.9,15.5,48,2.4,2.1,0,18.1,168,116,33.2,19.4
45,40,2022-01-23,26-338,DEN,,DET,W (+6),1,36:06,0.726,0.658,7,31,17.6,37.9,2.7,2.9,11.4,33.1,141,108,33.5,16.7
46,41,2022-01-25,26-340,DEN,@,DET,W (+5),1,33:55,0.607,0.525,9.9,52,32.3,54.8,1.4,0,11.5,30.1,133,95,28.6,18
47,42,2022-01-26,26-341,DEN,@,BRK,W (+6),1,35:10,0.787,0.692,6.2,26,15.9,35.1,1.3,0,10.8,22.2,159,116,26.5,11.7
48,43,2022-01-28,26-343,DEN,@,NOP,W (+11),1,30:18,0.698,0.658,12.5,33,23.9,67.2,3.1,0,22.4,37.2,122,95,26.2,16.3
49,44,2022-01-30,26-345,DEN,@,MIL,W (+36),1,28:14,0.911,0.889,0,41.5,23.3,62,5.4,3.5,33.6,24.9,150,92,26.3,27.9
50,45,2022-02-01,26-347,DEN,@,MIN,L (-15),1,30:23,0.658,0.542,6.4,45.1,25.8,44.3,1.6,0,23.9,29.2,117,120,20.6,7.1
51,,2022-02-02,26-348,DEN,@,UTA,L (-4),Inactive,,,,,,,,,,,,,,,
52,46,2022-02-04,26-350,DEN,,NOP,L (-8),1,34:48,0.925,0.85,6.9,47.6,24,49,3,0,22.8,24.1,158,119,27.9,18.1
53,47,2022-02-06,26-352,DEN,,BRK,W (+20),1,29:49,0.805,0.8,4.1,34.1,21.2,54.2,3.3,3.5,10.7,26.7,154,95,32.2,26
54,48,2022-02-08,26-354,DEN,,NYK,W (+17),1,30:24,0.615,0.571,12.1,23.4,18.7,33.1,0,0,26,32.6,111,117,16.2,-0.7
55,49,2022-02-11,26-357,DEN,@,BOS,L (-6),1,34:21,0.528,0.525,14.6,26.5,21.1,58.2,0,4.7,29.3,36.1,94,101,17.9,9.4
56,50,2022-02-12,26-358,DEN,@,TOR,W (+1),1,34:59,0.686,0.625,17.6,29.8,24.2,32.6,0,5.1,16.4,30.4,132,113,27.7,12
57,51,2022-02-14,26-360,DEN,,ORL,W (+10),1,34:48,0.476,0.442,16,27,22,34.2,1.3,0,15.5,37.1,104,104,18.4,1.2
58,52,2022-02-16,26-362,DEN,@,GSW,W (+1),1,34:21,0.626,0.604,17,38.1,27.9,45,1.4,0,15.2,39,123,112,29.7,15.3
59,53,2022-02-24,27-005,DEN,@,SAC,W (+18),1,34:21,0.691,0.667,4.5,36.6,23,35.5,5.4,2.5,10,25.3,139,96,29.1,16.2
60,54,2022-02-26,27-007,DEN,,SAC,W (+5),1,34:24,0.461,0.375,7,22.3,15.5,51.8,0,0,9.3,28.1,113,108,15.9,2.6
61,55,2022-02-27,27-008,DEN,@,POR,W (+32),1,26:08,0.68,0.6,4.7,53.8,34.1,52.5,1.8,0,25.4,12.7,144,77,17.4,15.4
62,56,2022-03-02,27-011,DEN,,OKC,L (-12),1,32:47,0.615,0.588,11.5,38.2,24.2,23.1,2.9,0,25.1,30.8,100,112,18.5,1
63,,2022-03-04,27-013,DEN,,HOU,W (+15),Inactive,,,,,,,,,,,,,,,
64,57,2022-03-06,27-015,DEN,,NOP,W (+8),1,42:34,0.843,0.795,8.3,22,15.6,50.6,3.4,7.3,15.5,33.2,150,108,48.7,25.5
65,58,2022-03-07,27-016,DEN,,GSW,W (+7),1,34:44,0.691,0.706,10.6,38.6,25.3,61.1,0,2.9,11.5,32.6,139,120,33.8,14.4
66,59,2022-03-09,27-018,DEN,@,SAC,W (+6),1,35:01,0.68,0.625,10.3,42,27.7,49.4,1.4,5.4,9.7,38.5,134,94,36.1,18.7
67,60,2022-03-10,27-019,DEN,,GSW,L (-11),1,31:46,0.486,0.429,3.8,36.9,21.3,63.5,1.6,3.3,17.5,39.7,100,115,16.9,7.2
68,61,2022-03-12,27-021,DEN,,TOR,L (-12),1,30:31,0.767,0.692,17.5,17.8,17.7,38.2,0,4.4,15,29.2,147,130,27.2,13.5
69,62,2022-03-14,27-023,DEN,@,PHI,W (+4),1,33:32,0.577,0.531,3.3,36.5,20.7,35.2,2.9,5.6,20.8,32.9,106,100,21.1,8.9
70,63,2022-03-16,27-025,DEN,@,WAS,W (+18),1,26:18,0.849,0.786,8.5,43.6,26.7,52.6,3.8,2.9,14.9,33.9,155,97,32.4,29.3
71,64,2022-03-18,27-027,DEN,@,CLE,L (-3),1,37:30,0.643,0.625,16.1,13.3,14.6,45.6,2.7,2.3,13.9,34.6,124,112,29.3,13
72,65,2022-03-20,27-029,DEN,,BOS,L (-20),1,33:01,0.449,0.391,12.6,17.6,14.7,24.9,1.6,3.5,7.2,37.2,104,135,15.4,2
73,66,2022-03-22,27-031,DEN,,LAC,W (+12),1,34:19,0.724,0.6,4,45.5,26.1,25.9,3,7.8,4.6,29.7,154,107,32.6,14.8
74,67,2022-03-24,27-033,DEN,,PHO,L (-10),1,32:19,0.943,0.95,8.7,18.6,13.5,25.7,4.5,0,35,31.2,128,135,24.8,8.9
75,68,2022-03-26,27-035,DEN,,OKC,W (+6),1,34:56,0.902,0.867,6.7,32.7,19.9,47.5,2.8,5.7,13.4,27.8,161,101,38.1,21.9
76,69,2022-03-28,27-037,DEN,@,CHO,W (+4),1,35:26,0.583,0.529,13.8,45.2,28.3,53.6,2.7,0,15.2,31.1,126,102,29.1,15
77,70,2022-03-30,27-039,DEN,@,IND,W (+7),1,35:39,0.821,0.789,15,25.4,21.9,40.7,2.8,2.4,23.7,37.8,136,114,35.2,13.2
78,71,2022-04-01,27-041,DEN,,MIN,L (-6),1,43:23,0.723,0.667,14.6,35.2,25.6,29,1.1,0,13.2,28.7,140,129,37.6,9
79,72,2022-04-03,27-043,DEN,@,LAL,W (+11),1,32:59,0.708,0.682,3.6,65.1,33.6,34.7,2.8,4,20.7,46.1,114,105,32.6,7.6
80,73,2022-04-05,27-045,DEN,,SAS,L (-19),1,40:23,0.545,0.529,4.5,38.8,20.4,24.3,2.3,0,5,41.2,108,108,30.4,13.4
81,74,2022-04-07,27-047,DEN,,MEM,W (+13),1,35:15,0.703,0.688,12.8,39.3,28.3,36.8,5.6,2.2,10.8,35.2,136,96,35.7,18.8
82,,2022-04-10,27-050,DEN,,LAL,L (-5),Inactive,,,,,,,,,,,,,,,
