Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2021-10-20,26-243,DEN,@,PHO,W (+12),1,34:43,0.614,0.614,6.9,29.8,19.8,10.6,2.8,0,12,33.2,109,92,20.7,3.9
2,2,2021-10-22,26-245,DEN,,SAS,W (+6),1,33:37,0.787,0.789,17.8,39.3,28.6,41.6,4.2,2.4,22.8,34,127,85,31.7,21
3,3,2021-10-25,26-248,DEN,,CLE,L (-12),1,34:57,0.68,0.633,8.4,46.8,27.2,18.2,4.3,0,25.4,28.9,105,90,21.5,10.2
4,4,2021-10-26,26-249,DEN,@,UTA,L (-12),1,15:00,0.993,1.056,8.4,42.1,25.3,100,0,0,7.6,39.3,191,122,25.1,48.9
5,5,2021-10-29,26-252,DEN,,DAL,W (+31),1,25:15,0.611,0.611,10.9,51.2,35,45.4,1.9,0,10,17.6,137,67,16.3,17.1
6,6,2021-10-30,26-253,DEN,@,MIN,W (+2),1,36:40,0.525,0.5,14.5,37.4,26.5,40,1.4,5.5,22,36.8,97,86,20.7,8.6
7,7,2021-11-01,26-255,DEN,@,MEM,L (-9),1,33:03,0.686,0.667,2.9,19.4,10.7,39.2,0,9.2,15.2,26.9,120,105,22.1,13.5
8,8,2021-11-03,26-257,DEN,@,MEM,L (-2),1,35:01,0.697,0.6,6.2,34.3,18.8,24.5,2.9,0,7.6,33.6,141,112,30.8,17.8
9,9,2021-11-06,26-260,DEN,,HOU,W (+1),1,36:23,0.706,0.633,5.3,37.7,20.1,10.9,2.8,2.8,20.1,30.5,116,93,22.4,7.5
10,10,2021-11-08,26-262,DEN,,MIA,W (+17),1,33:24,0.713,0.714,13.4,36.8,25.1,52,3,6.8,10.2,25.4,148,91,31.3,24.4
11,,2021-11-10,26-264,DEN,,IND,W (+3),Inactive,,,,,,,,,,,,,,,
12,11,2021-11-12,26-266,DEN,,ATL,W (+9),1,35:29,0.463,0.477,14.7,35.7,26,51.1,1.4,0,7.8,32.9,109,95,21.1,10.2
13,12,2021-11-14,26-268,DEN,,POR,W (+29),1,27:57,0.764,0.735,8.2,28,18.2,55,0,0,14.1,34.8,150,109,26.5,20.4
14,13,2021-11-15,26-269,DEN,@,DAL,L (-10),1,36:52,0.611,0.615,8.9,36.8,23.1,38.2,0,4.8,9.5,40.2,121,116,29.8,15.7
15,14,2021-11-18,26-272,DEN,,PHI,L (-14),1,35:24,0.716,0.676,2.8,29.1,14.9,51.5,0,2.4,4.6,28.1,145,111,28.1,20.2
16,,2021-11-19,26-273,DEN,,CHI,L (-6),Inactive,,,,,,,,,,,,,,,
17,,2021-11-21,26-275,DEN,@,PHO,L (-29),Did Not Dress,,,,,,,,,,,,,,,
18,,2021-11-23,26-277,DEN,@,POR,L (-19),Inactive,,,,,,,,,,,,,,,
19,,2021-11-26,26-280,DEN,,MIL,L (-11),Inactive,,,,,,,,,,,,,,,
20,15,2021-11-29,26-283,DEN,@,MIA,W (+9),1,32:35,0.721,0.679,13.8,42.1,29.9,34.7,1.6,0,5.7,27,157,111,27.2,13.9
21,16,2021-12-01,26-285,DEN,@,ORL,L (-5),1,36:11,0.425,0.368,3.4,53.1,26.9,31.3,1.3,0,19.1,33.7,82,108,12.5,-1.9
22,17,2021-12-04,26-288,DEN,@,NYK,W (+14),1,26:56,0.823,0.816,16.7,28.5,23.9,46.8,0,0,17.1,42.1,138,110,28.3,19.1
23,18,2021-12-06,26-290,DEN,@,CHI,L (-12),1,36:07,0.433,0.382,2.5,28.1,15.2,66.4,2.7,0,13.3,27,102,104,19.4,13.2
24,19,2021-12-08,26-292,DEN,@,NOP,W (+6),1,36:42,0.723,0.739,3.5,38,20.1,77.7,1.4,0,18.2,42.9,124,108,33.7,17.1
25,20,2021-12-09,26-293,DEN,@,SAS,L (-12),1,34:59,0.53,0.474,6.1,35.9,20.5,44.2,2.8,2.6,8.8,29,116,116,23.1,11
26,21,2021-12-11,26-295,DEN,@,SAS,W (+15),1,34:12,0.716,0.708,6.8,46.8,27.7,43.3,1.4,4.5,17,37.5,126,101,31.9,15
