Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2022-10-19,27-242,DEN,@,UTA,L (-21),1,33:25,0.755,0.735,6.8,8,7.4,37.9,4.3,0,14.4,26.8,136,119,24.5,13.7
2,2,2022-10-21,27-244,DEN,@,GSW,W (+5),1,34:24,0.729,0.577,10.5,34.9,22,38.5,0,0,21.9,27.2,138,119,24.9,7.2
3,3,2022-10-22,27-245,DEN,,OKC,W (+5),1,38:41,0.681,0.65,2.7,39.6,21.3,46.7,1.2,2.2,17.7,18,142,105,25.4,11.7
4,4,2022-10-24,27-247,DEN,@,POR,L (-25),1,26:58,0.846,0.75,3.9,38.5,19.3,40.4,0,0,15.8,10.7,172,141,13.8,6.3
5,5,2022-10-26,27-249,DEN,,LAL,W (+11),1,34:48,0.772,0.706,2.8,31.8,17.8,48.8,5.4,0,13,28.4,141,89,34.3,20.2
6,6,2022-10-28,27-251,DEN,,UTA,W (+16),1,25:28,0.444,0.3,12,26.9,19.6,33.9,2,3.6,6.9,24.4,125,98,14.1,8
7,7,2022-10-30,27-253,DEN,@,LAL,L (-11),1,35:52,0.603,0.531,10.5,27.9,18.9,26.5,0,4.1,9.5,25,130,120,24,9.4
8,8,2022-11-03,27-257,DEN,@,OKC,W (+12),1,35:38,0.727,0.667,0,35.7,20.1,51.1,1.3,0,49.2,25.1,102,105,14.6,2.8
9,9,2022-11-05,27-259,DEN,,SAS,W (+25),1,26:34,0.965,0.95,0,25.2,14.5,49.2,3.8,0,26.9,25,150,100,23.6,19.3
10,10,2022-11-07,27-261,DEN,@,SAS,W (+6),1,33:57,0.586,0.55,3.9,23.6,14.5,45,2.7,8.7,15.3,31.7,115,99,25.1,10.5
11,11,2022-11-09,27-263,DEN,@,IND,W (+3),1,20:42,0.563,0.525,5.3,14.8,10.2,70.2,4.3,4.3,4.5,43.3,123,104,19.5,13.2
12,12,2022-11-11,27-265,DEN,@,BOS,L (-19),1,29:44,0.666,0.65,10.3,21.8,15.4,21.4,0,0,8.4,36.3,127,141,21.5,7.8
13,13,2022-11-13,27-267,DEN,@,CHI,W (+23),1,27:36,1,1,0,26.8,14.5,59.3,5.3,0,33.3,9.9,172,97,19.4,21.9
14,,2022-11-16,27-270,DEN,,NYK,L (-3),Inactive,,,,,,,,,,,,,,,
15,,2022-11-18,27-272,DEN,@,DAL,L (-28),Inactive,,,,,,,,,,,,,,,
16,,2022-11-20,27-274,DEN,@,DAL,W (+1),Inactive,,,,,,,,,,,,,,,
17,14,2022-11-22,27-276,DEN,,DET,L (-2),1,36:44,0.744,0.75,6.1,23.5,14.3,47.8,1.4,2.2,19.3,29.5,130,113,29,14.6
18,15,2022-11-23,27-277,DEN,@,OKC,W (+5),1,43:09,0.851,0.767,8.4,17.2,13.1,38.8,0,0,14.9,26.9,160,126,36.6,13.2
19,16,2022-11-25,27-279,DEN,@,LAC,W (+10),1,32:24,0.591,0.538,7.6,52.6,27.5,26.4,3.2,3.2,11.1,25.5,124,107,20.3,7.8
20,17,2022-11-28,27-282,DEN,,HOU,W (+16),1,27:27,0.748,0.676,27.6,25,26.2,45.5,0,0,12.3,38.5,154,118,31.9,16.9
21,18,2022-11-30,27-284,DEN,,HOU,W (+20),1,27:33,0.9,0.889,4.7,31.7,19.4,65.7,1.8,3.7,29.8,22.8,148,99,20.7,17.6
22,19,2022-12-02,27-286,DEN,@,ATL,L (-8),1,35:04,0.716,0.767,3.4,34.2,18,35,1.5,0,10.7,24.3,135,121,23.5,11.8
23,20,2022-12-04,27-288,DEN,@,NOP,L (-15),1,37:17,0.697,0.711,13.2,38.6,26.1,47.8,2.6,2.3,14.8,31.4,131,115,32.1,16.9
24,21,2022-12-06,27-290,DEN,,DAL,L (-1),1,34:03,0.607,0.538,0,35.2,15.9,37.4,1.5,0,16.1,24.5,119,121,17.9,4.3
25,22,2022-12-08,27-292,DEN,@,POR,W (+1),1,34:21,0.597,0.58,10.2,21.7,16.2,45.8,0,2.7,17.8,40.3,118,125,25.1,7.4
